created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Aug 29 23:59:24 +0000 2023;1696673939228143888;"-ness niat baik ngasi job ke anak Unnes, malah ketemu oknum2 yg suka pilih2 job. Duhh dik";0;2;0;2;in;1187284958370398209;1696673939228143888;unnesmenfess;https://twitter.com/unnesmenfess/status/1696673939228143888
Tue Aug 29 23:47:23 +0000 2023;1696670914421932528;"@unnesmenfess https://t.co/PiKDLydxPP";0;0;0;0;qme;1672123382710812672;1696670130355507279;jekbersinergi;https://twitter.com/jekbersinergi/status/1696670914421932528
Tue Aug 29 23:44:16 +0000 2023;1696670130355507279;"-ness need anjem jam 7.35 area unnes";0;7;0;0;en;1187284958370398209;1696670130355507279;unnesmenfess;https://twitter.com/unnesmenfess/status/1696670130355507279
Tue Aug 29 23:41:34 +0000 2023;1696669450169393599;"-ness ada anjem cewe yang bisa nganter jam 7 pagi ga ya?";0;6;0;0;in;1187284958370398209;1696669450169393599;unnesmenfess;https://twitter.com/unnesmenfess/status/1696669450169393599
Tue Aug 29 23:32:53 +0000 2023;1696667267457749418;"@FitrahDharul @alqodrifaqih @aniesbaswedan @BEMUI_Official @Dennysiregar7 @ruhutsitompul @andre_rosiade @bengkeldodo @DPR_RI @undip @univ_indonesia @unpad @UGMYogyakarta @UB_Official @Unair_Official @UNJ_Official @upiofficial @univ_terbuka @usakti_official @itbofficial @bemfe_unnes @anak_unhas @official_unand @mprgoid @DPDRI @aniesmania @Ulamalovers @Mjl_Rasulullah @ulama @dprddkijakarta @PKSejahtera @PDemokrat @NasDem @DPP_PartaiUmmat @paramadina @ipbofficial @bem_unpad Sorry......begitu liat ternyata ah.....belajar dulu aja ya!? Jagi percuma diksh penjelasan bagaimanapun GK akan masuk ke otak kau.";0;1;0;1;in;1452508101505028098;1696441165577687433;EviDrajat;https://twitter.com/EviDrajat/status/1696667267457749418
Tue Aug 29 23:30:40 +0000 2023;1696666708071850341;"@FitrahDharul @alqodrifaqih @aniesbaswedan @BEMUI_Official @Dennysiregar7 @ruhutsitompul @andre_rosiade @bengkeldodo @DPR_RI @undip @univ_indonesia @unpad @UGMYogyakarta @UB_Official @Unair_Official @UNJ_Official @upiofficial @univ_terbuka @usakti_official @itbofficial @bemfe_unnes @anak_unhas @official_unand @mprgoid @DPDRI @aniesmania @Ulamalovers @Mjl_Rasulullah @ulama @dprddkijakarta @PKSejahtera @PDemokrat @NasDem @DPP_PartaiUmmat @paramadina @ipbofficial @bem_unpad GK usah meributkan hutang negara......hutang anda aja dl yg hrs dilunasi dimana². Semua apa yg sudah terbaik di Indonesia ttp kau nikmati.";0;1;0;1;in;1452508101505028098;1696441165577687433;EviDrajat;https://twitter.com/EviDrajat/status/1696666708071850341
Tue Aug 29 23:24:20 +0000 2023;1696665113342656698;"ada ga si jastip yg bersedia dikontrak perbulan? jd bayar jasanya di muka gitu untuk sebulan, s&amp k lainnya bisa dibicarakan -ness";0;6;0;2;in;1187284958370398209;1696665113342656698;unnesmenfess;https://twitter.com/unnesmenfess/status/1696665113342656698
Tue Aug 29 23:13:10 +0000 2023;1696662306212429884;"@FitrahDharul @alqodrifaqih @aniesbaswedan @BEMUI_Official @Dennysiregar7 @ruhutsitompul @andre_rosiade @bengkeldodo @DPR_RI @undip @univ_indonesia @unpad @UGMYogyakarta @UB_Official @Unair_Official @UNJ_Official @upiofficial @univ_terbuka @usakti_official @itbofficial @bemfe_unnes @anak_unhas @official_unand @mprgoid @DPDRI @aniesmania @Ulamalovers @Mjl_Rasulullah @ulama Hoax!";0;1;0;1;es;1452508101505028098;1696441165577687433;EviDrajat;https://twitter.com/EviDrajat/status/1696662306212429884
Tue Aug 29 23:08:51 +0000 2023;1696661218931388555;"@EviDrajat @alqodrifaqih @aniesbaswedan @BEMUI_Official @Dennysiregar7 @ruhutsitompul @andre_rosiade @bengkeldodo @DPR_RI ABW🇮🇩 @undip @univ_indonesia @unpad @UGMYogyakarta @UB_Official @Unair_Official @UNJ_Official @upiofficial @univ_terbuka @usakti_official @itbofficial @bemfe_unnes @anak_unhas @official_unand @DPR_RI @mprgoid @DPDRI @aniesbaswedan @aniesmania @Ulamalovers @Mjl_Rasulullah @ulama https://t.co/A7eC49ETa9";0;2;0;0;und;1603503186580422657;1696441165577687433;FitrahDharul;https://twitter.com/FitrahDharul/status/1696661218931388555
Tue Aug 29 23:04:05 +0000 2023;1696660020467769825;"Kuliah Umum  untuk mahasiswa RPL Desa di Universitas Negeri Semarang selasa 29 Agustus 2023 di Ruang Borobudur Gedung LPPM  , Alhamdulillah 272  Kades, Perangkat Desa dan pengiat Desa lainnya yang menjadi mahasiswa RPK  UNNES sudah mulai memasuki masa perkuliahan. https://t.co/WB48nsoYW8";0;0;0;5;in;1367460482857062401;1696660020467769825;dinaspmd_blora;https://twitter.com/dinaspmd_blora/status/1696660020467769825
Tue Aug 29 22:50:05 +0000 2023;1696656497265238133;"@chocostudy_ punya pengantar akuntansi yang produksinya dari unnes sendiri ga  kak?? kaya gini bukunyaaa, aku nyari kating yg punya ini susah bgttt 😭😭 https://t.co/qXsWGfl0uX";0;0;0;1;in;1498553925451927554;1696510183365832766;heyy_yunii;https://twitter.com/heyy_yunii/status/1696656497265238133
Tue Aug 29 22:32:55 +0000 2023;1696652174166466583;"@unnesmenfess Coba pintu kamarnya diketuk dulu, Nder. Takut beneran meninggoy 🥹🙏";0;0;0;14;in;1545283463875416066;1696647200355295485;Arsonist_Hope;https://twitter.com/Arsonist_Hope/status/1696652174166466583
Tue Aug 29 22:27:04 +0000 2023;1696650703865839766;"@unnesmenfess kayaknya di unnes beberapa jurusan udah nerapin deh. temenku akuntansi '19 dia ga bikin skripsi, tapi bikin artikel jurnal (cmiiw)";0;1;0;0;in;4763483599;1696552936246284797;uaintich;https://twitter.com/uaintich/status/1696650703865839766
Tue Aug 29 22:19:45 +0000 2023;1696648861068956074;"@afrkml @aaimwho Jurnal Kesehatan Masyarakat - Unnes https://t.co/LCwoqbHSXl";0;0;0;0;in;1617048453355556866;1696491094052405315;gharrisandio;https://twitter.com/gharrisandio/status/1696648861068956074
Tue Aug 29 22:13:09 +0000 2023;1696647200355295485;"-ness gw aja tanpa masang alarm jam 3 dah bangun, kamar2 lain sebelah kamar gw yg setel alarm 5 menit sekali dari jam 4 sampe jam 6 pada ga bangun2 kek udah metong";14;39;0;100;in;1187284958370398209;1696647200355295485;unnesmenfess;https://twitter.com/unnesmenfess/status/1696647200355295485
Tue Aug 29 21:52:54 +0000 2023;1696642104376586658;"@9494Eerika Mantabbb";0;0;0;0;da;1489061181692461058;1696207652215476506;b45ukiUNNES;https://twitter.com/b45ukiUNNES/status/1696642104376586658
Tue Aug 29 21:51:03 +0000 2023;1696641638888808816;"-ness itu orang yg setel alarm 5 menit sekali tapi ga bangun2 tuh masih idup ga si, heran dah";0;5;0;4;in;1187284958370398209;1696641638888808816;unnesmenfess;https://twitter.com/unnesmenfess/status/1696641638888808816
Tue Aug 29 20:54:26 +0000 2023;1696627390355734985;"@unnesmenfess Ready driver cewek, Kak. Bisa langsung WA aja ke link yg ada di bio";0;0;0;0;in;1545283463875416066;1696566758201586114;Arsonist_Hope;https://twitter.com/Arsonist_Hope/status/1696627390355734985
Tue Aug 29 20:05:15 +0000 2023;1696615012180300151;"-ness yg masih open jastip dong, temen gue mau mati kelaparan wkwkk kasiann😭";0;4;0;0;in;1187284958370398209;1696615012180300151;unnesmenfess;https://twitter.com/unnesmenfess/status/1696615012180300151
Tue Aug 29 19:58:12 +0000 2023;1696613240825057628;"Pernah ga, udah berusaha semaksimal mungkin buat mikirin jawaban tugas tp otaknya kaya udh mentokkk jadi stuck?? Helpp sender harus gmn???😭😭 -ness";0;2;0;0;in;1187284958370398209;1696613240825057628;unnesmenfess;https://twitter.com/unnesmenfess/status/1696613240825057628
Tue Aug 29 19:29:41 +0000 2023;1696606063402061997;"-ness toko kelontong yg masi buka jam segini dimana?";0;6;0;1;in;1187284958370398209;1696606063402061997;unnesmenfess;https://twitter.com/unnesmenfess/status/1696606063402061997
