created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Aug 25 21:15:54 +0000 2023;1695183242733965369;"-ness Jam segini ada yang bisa anjem?";0;9;0;0;in;1187284958370398209;1695183242733965369;unnesmenfess;https://twitter.com/unnesmenfess/status/1695183242733965369
Fri Aug 25 21:07:01 +0000 2023;1695181006452805928;"@unnesmenfess mau nderrrr, untuk tgl 31 Agustus tapi derr hari ultah soalnya😊☝🏻";0;0;0;0;in;1621427161931599873;1695108449762513002;iniijejee;https://twitter.com/iniijejee/status/1695181006452805928
Fri Aug 25 20:03:48 +0000 2023;1695165098929836433;"@FitrahDharul @yuki_binance @aniesbaswedan @undip @univ_indonesia @unpad @UGMYogyakarta @UB_Official @Unair_Official @UNJ_Official @upiofficial @univ_terbuka @usakti_official @itbofficial @bemfe_unnes @anak_unhas @official_unand @DPR_RI @mprgoid Budaya Indonesia ? Marganya saja ASING kok mau ngembngin budya Indonesia.....hahahaha";0;1;0;0;in;1686036509508714496;1694987701764940087;DahriWaeSaja;https://twitter.com/DahriWaeSaja/status/1695165098929836433
Fri Aug 25 19:33:49 +0000 2023;1695157551111999942;"-ness ada yg lg laper gaa. Ayo makannnnn :)";1;1;0;4;in;1187284958370398209;1695157551111999942;unnesmenfess;https://twitter.com/unnesmenfess/status/1695157551111999942
Fri Aug 25 18:55:19 +0000 2023;1695147860935970838;"@unnesmenfess Njirr 200meter jalanan unnes";0;0;0;0;in;1263883375;1694986790229450762;rickynyatanya;https://twitter.com/rickynyatanya/status/1695147860935970838
Fri Aug 25 18:39:32 +0000 2023;1695143891463442704;"-ness pacaran 4th putus soale aku kalah karo biduan sg gek ketemu pisan iso dijogeti. Wtf";0;3;0;5;in;1187284958370398209;1695143891463442704;unnesmenfess;https://twitter.com/unnesmenfess/status/1695143891463442704
Fri Aug 25 18:27:34 +0000 2023;1695140880720802204;"-ness bursky tu bisa qris ga si?";0;1;0;1;in;1187284958370398209;1695140880720802204;unnesmenfess;https://twitter.com/unnesmenfess/status/1695140880720802204
Fri Aug 25 18:25:40 +0000 2023;1695140401739616734;"@unnesmenfess Oke,, September gas Unnes";0;0;0;0;en;2576858468;1694839235885605306;syaif38;https://twitter.com/syaif38/status/1695140401739616734
Fri Aug 25 18:21:41 +0000 2023;1695139399888146774;"-ness jam segini kosan rame temennya temen kos pada mabar, berisik teriak2 ketawa2 ganggu orang tidurrr, gapunya etika gada otak gada unggah ungguh, ga diajarin tata krama kali yaa! udah cape ngomongin&amp nyindir ttp diulangin lagi";1;4;0;18;in;1187284958370398209;1695139399888146774;unnesmenfess;https://twitter.com/unnesmenfess/status/1695139399888146774
Fri Aug 25 17:51:24 +0000 2023;1695131777558573080;"-ness besok sender ada acara pra mu ka, tp tiba-tiba ada kelas pengganti pagi, apakah sender kudu zoom waktu acara wkskw";0;4;0;1;in;1187284958370398209;1695131777558573080;unnesmenfess;https://twitter.com/unnesmenfess/status/1695131777558573080
Fri Aug 25 17:48:02 +0000 2023;1695130930627874951;"-ness lagi galau berat ambil keputusan menyangkut masa depan yang tak tahu bagaimana 😢";0;2;2;2;in;1187284958370398209;1695130930627874951;unnesmenfess;https://twitter.com/unnesmenfess/status/1695130930627874951
